Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 22 2019,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,Box Score,OT,20787,
Tue Oct 22 2019,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,Box Score,,19068,
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,Box Score,,18846,
Wed Oct 23 2019,7:00p,Detroit Pistons,119,Indiana Pacers,110,Box Score,,17923,
Wed Oct 23 2019,7:00p,Chicago Bulls,125,Charlotte Hornets,126,Box Score,,15424,
Wed Oct 23 2019,7:30p,Memphis Grizzlies,101,Miami Heat,120,Box Score,,19600,
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,Box Score,OT,17732,
Wed Oct 23 2019,7:30p,Boston Celtics,93,Philadelphia 76ers,107,Box Score,,20422,
Wed Oct 23 2019,8:30p,Washington Wizards,100,Dallas Mavericks,108,Box Score,,19816,
Wed Oct 23 2019,8:30p,New York Knicks,111,San Antonio Spurs,120,Box Score,,18354,
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,Box Score,,18306,
Wed Oct 23 2019,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,Box Score,,19991,
Wed Oct 23 2019,10:00p,Sacramento Kings,95,Phoenix Suns,124,Box Score,,18055,
Thu Oct 24 2019,7:00p,Atlanta Hawks,117,Detroit Pistons,100,Box Score,,20332,
Thu Oct 24 2019,8:00p,Milwaukee Bucks,117,Houston Rockets,111,Box Score,,18055,
Thu Oct 24 2019,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,Box Score,,18064,
Fri Oct 25 2019,7:00p,Toronto Raptors,106,Boston Celtics,112,Box Score,,18624,
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,Box Score,,14879,
Fri Oct 25 2019,7:30p,New York Knicks,109,Brooklyn Nets,113,Box Score,,17732,
Fri Oct 25 2019,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,Box Score,,18203,
Fri Oct 25 2019,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,Box Score,,17027,
Fri Oct 25 2019,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,Box Score,,17794,
Fri Oct 25 2019,9:00p,Phoenix Suns,107,Denver Nuggets,108,Box Score,OT,19557,
Fri Oct 25 2019,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,Box Score,,17583,
Fri Oct 25 2019,10:30p,Utah Jazz,86,Los Angeles Lakers,95,Box Score,,18997,
Sat Oct 26 2019,5:00p,Miami Heat,,Milwaukee Bucks,,,,,
Sat Oct 26 2019,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Sat Oct 26 2019,7:30p,Orlando Magic,,Atlanta Hawks,,,,,
Sat Oct 26 2019,7:30p,Boston Celtics,,New York Knicks,,,,,
Sat Oct 26 2019,8:00p,New Orleans Pelicans,,Houston Rockets,,,,,
Sat Oct 26 2019,8:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,
Sat Oct 26 2019,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Sat Oct 26 2019,8:30p,Washington Wizards,,San Antonio Spurs,,,,,
Sat Oct 26 2019,9:00p,Sacramento Kings,,Utah Jazz,,,,,
Sat Oct 26 2019,10:00p,Los Angeles Clippers,,Phoenix Suns,,,,,
Sun Oct 27 2019,3:30p,Golden State Warriors,,Oklahoma City Thunder,,,,,
Sun Oct 27 2019,6:00p,Brooklyn Nets,,Memphis Grizzlies,,,,,
Sun Oct 27 2019,7:00p,Miami Heat,,Minnesota Timberwolves,,,,,
Sun Oct 27 2019,7:00p,Portland Trail Blazers,,Dallas Mavericks,,,,,
Sun Oct 27 2019,9:30p,Charlotte Hornets,,Los Angeles Lakers,,,,,
Mon Oct 28 2019,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Mon Oct 28 2019,7:00p,Chicago Bulls,,New York Knicks,,,,,
Mon Oct 28 2019,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,
Mon Oct 28 2019,7:30p,Orlando Magic,,Toronto Raptors,,,,,
Mon Oct 28 2019,8:00p,Golden State Warriors,,New Orleans Pelicans,,,,,
Mon Oct 28 2019,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
Mon Oct 28 2019,8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,
Mon Oct 28 2019,8:30p,Portland Trail Blazers,,San Antonio Spurs,,,,,
Mon Oct 28 2019,10:00p,Utah Jazz,,Phoenix Suns,,,,,
Mon Oct 28 2019,10:00p,Denver Nuggets,,Sacramento Kings,,,,,
Mon Oct 28 2019,10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,
Tue Oct 29 2019,7:30p,Atlanta Hawks,,Miami Heat,,,,,
Tue Oct 29 2019,9:00p,Dallas Mavericks,,Denver Nuggets,,,,,
Tue Oct 29 2019,10:30p,Memphis Grizzlies,,Los Angeles Lakers,,,,,
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,,Philadelphia 76ers,,,,,
Wed Oct 30 2019,7:00p,New York Knicks,,Orlando Magic,,,,,
Wed Oct 30 2019,7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
Wed Oct 30 2019,7:30p,Detroit Pistons,,Toronto Raptors,,,,,
Wed Oct 30 2019,7:30p,Indiana Pacers,,Brooklyn Nets,,,,,
Wed Oct 30 2019,7:30p,Milwaukee Bucks,,Boston Celtics,,,,,
Wed Oct 30 2019,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Wed Oct 30 2019,8:00p,Houston Rockets,,Washington Wizards,,,,,
Wed Oct 30 2019,10:00p,Charlotte Hornets,,Sacramento Kings,,,,,
Wed Oct 30 2019,10:00p,Los Angeles Clippers,,Utah Jazz,,,,,
Wed Oct 30 2019,10:30p,Phoenix Suns,,Golden State Warriors,,,,,
Thu Oct 31 2019,7:00p,Miami Heat,,Atlanta Hawks,,,,,
Thu Oct 31 2019,9:30p,Denver Nuggets,,New Orleans Pelicans,,,,,
Thu Oct 31 2019,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
